ParkCode,LatS,LongE,LatN,LongW
ACAD,44.006,-68.037,44.431,-68.66
MABI,43.627,-72.507,43.64,-72.554
MIMA,42.446,-71.256,42.475,-71.383
MORR,40.74,-74.466,40.799,-74.566
ROVA,41.756,-73.887,41.805,-73.947
SAGA,43.503,-72.364,43.49,-72.381
SAIR,42.463,-71.001,42.474,-71.004
SARA,42.973,-73.599,43.015,-73.659
WEFA,41.255,-73.45,41.266,-73.459
